School Name,State Name [District] 2022-23,County Name [District] 2022-23,Web Site URL [District] 2022-23,Location Address 1 [District] 2022-23,Location City [District] 2022-23,Location ZIP [District] 2022-23,Phone Number [District] 2022-23,Locale [District] 2022-23,Latitude [District] 2022-23,Longitude [District] 2022-23,LEA Charter Status [District] 2022-23,"Total Students, All Grades (Excludes AE) [District] 2022-23","Total Students, All Grades (Includes AE) [District] 2022-23",Male Students [District] 2022-23,Female Students [District] 2022-23,American Indian/Alaska Native Students [District] 2022-23,Asian or Asian/Pacific Islander Students [District] 2022-23,Hispanic Students [District] 2022-23,Black or African American Students [District] 2022-23,White Students [District] 2022-23,Nat. Hawaiian or Other Pacific Isl. Students [District] 2022-23,Two or More Races Students [District] 2022-23,AP Program Offered
APACHE JUNCTION UNIFIED DISTRICT (4443),ARIZONA,Pinal County,http://www.ajusd.org,801 W SOUTHERN AVE,Apache Junction,85120,4809821110,21-Suburb: Large,33.392997,-111.562624,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,3021,3021,1599,1422,43,20,1213,43,1582,9,111,YES
ARCHWAY CLASSICAL ACADEMY ARETE (92312),ARIZONA,Maricopa County,http://archwayarete.greatheartsamerica.org/,4801 E WASHINGTON ST STE 250,PHOENIX,85034,4802224233,21-Suburb: Large,33.446648,-111.977644,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",538,538,258,280,2,44,133,10,308,2,39,NO
ARCHWAY CLASSICAL ACADEMY CHANDLER (90917),ARIZONA,Maricopa County,http://archwaychandler.greatheartsamerica.org/,4801 E WASHINGTON ST STE 250,PHOENIX,85034,6024387045,11-City: Large,33.446648,-111.977644,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",533,533,261,272,3,93,100,25,254,0,58,NO
ARCHWAY CLASSICAL ACADEMY CICERO (92314),ARIZONA,Maricopa County,http://archwaycicero.greatheartsamerica.org/,4801 E WASHINGTON ST STE 250,PHOENIX,85034,6024387045,41-Rural: Fringe,33.446648,-111.977644,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",479,479,235,244,8,26,85,6,312,0,42,NO
ARCHWAY CLASSICAL ACADEMY GLENDALE (91878),ARIZONA,Maricopa County,http://archwayglendale.greatheartsamerica.org/,4801 E WASHINGTON ST STE 250,PHOENIX,85034,6024387045,21-Suburb: Large,33.446648,-111.977644,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",559,559,270,289,2,55,85,7,375,1,34,NO
ARCHWAY CLASSICAL ACADEMY LINCOLN (92656),ARIZONA,Maricopa County,http://archwaylincoln.greatheartsamerica.org/,4801 E WASHINGTON ST STE 250,PHOENIX,85034,6024387045,41-Rural: Fringe,33.446648,-111.977644,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",734,734,340,394,1,181,125,42,311,1,73,NO
ARCHWAY CLASSICAL ACADEMY NORTH PHOENIX (91758),ARIZONA,Maricopa County,http://archwaynorthphoenix.greatheartsamerica.org/,4801 E WASHINGTON ST STE 250,PHOENIX,85034,6024387045,11-City: Large,33.446648,-111.977644,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",818,818,364,454,0,120,138,11,487,0,62,NO
ARCHWAY CLASSICAL ACADEMY SCOTTSDALE (90857),ARIZONA,Maricopa County,http://archwayscottsdale.greatheartsamerica.org/,4801 E WASHINGTON ST STE 250,PHOENIX,85034,6024387045,12-City: Mid-size,33.446648,-111.977644,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1059,1059,529,530,3,112,121,8,726,1,88,NO
ARCHWAY CLASSICAL ACADEMY TRIVIUM WEST (1001937),ARIZONA,Maricopa County,http://greatheartsonline.org/,4801 E WASHINGTON ST STE 250,PHOENIX,85034,6024387045,11-City: Large,33.446648,-111.977644,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",259,259,119,140,2,40,76,18,96,0,27,NO
ARCHWAY CLASSICAL ACADEMY TRIVIUM WEST (90915),ARIZONA,Maricopa County,http://archwaytrivium.greatheartsamerica.org/,4801 E WASHINGTON ST STE 250,PHOENIX,85034,6024387045,22-Suburb: Mid-size,33.446648,-111.977644,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",886,886,416,470,1,90,352,48,316,5,74,NO
ARCHWAY CLASSICAL ACADEMY VERITAS (90916),ARIZONA,Maricopa County,http://archwayveritas.greatheartsamerica.org/,4801 E WASHINGTON ST STE 250,PHOENIX,85034,6024387045,11-City: Large,33.446648,-111.977644,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",716,716,361,355,1,37,126,12,480,2,58,NO
ARETE PREPARATORY ACADEMY (89486),ARIZONA,Maricopa County,http://areteprepacademy.greatheartsamerica.org/,4801 E WASHINGTON ST STE 250,PHOENIX,85034,6024387045,21-Suburb: Large,33.446648,-111.977644,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",560,560,249,311,1,45,145,29,303,1,36,NO
ARIZONA AGRIBUSINESS & EQUINE CENTER INC. (134379),ARIZONA,Maricopa County,http://www.aaechighschools.com,1440 S LONGMORE,MESA,85202,4802223999,11-City: Large,33.388412,-111.864171,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",162,162,58,104,1,6,42,9,101,2,1,NO
ARIZONA AGRIBUSINESS & EQUINE CENTER INC. (4331),ARIZONA,Maricopa County,http://www.aaechighschools.com,3775 E UNION HILLS DR,PHOENIX,85050,6022978500,11-City: Large,33.486325,-112.068753,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",316,316,114,202,1,13,53,5,230,0,14,NO
ARIZONA AGRIBUSINESS & EQUINE CENTER INC. (85816),ARIZONA,Maricopa County,http://www.aaechighschools.com,2002 E BASELINE RD,PHOENIX,85042,6022978500,11-City: Large,33.378982,-112.039907,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",486,486,200,286,4,2,430,19,27,0,4,NO
ARIZONA AGRIBUSINESS & EQUINE CENTER INC. (90779),ARIZONA,Maricopa County,http://www.aaechighschools.com,3400 N Dysart Rd,AVONDALE,85392,6022978500,22-Suburb: Mid-size,33.485749,-112.341575,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",412,412,179,233,2,25,209,16,138,0,22,NO
ARIZONA AUTISM CHARTER SCHOOLS INC. (91958),ARIZONA,Maricopa County,http://www.autismcharter.org,4125 N 14TH ST,PHOENIX,85014,6028825544,11-City: Large,33.49609,-112.051421,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",721,721,569,152,13,21,362,63,225,4,33,NO
ARIZONA CENTER FOR YOUTH RESOURCES (4346),ARIZONA,Maricopa County,http://www.acyraz.org,649 N 6TH AVE,PHOENIX,85003,6022526721,11-City: Large,33.456438,-112.081162,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",91,91,48,43,4,0,70,14,3,0,0,NO
ARIZONA CONNECTIONS ACADEMY CHARTER SCHOOL INC. (87407),ARIZONA,Maricopa County,http://www.ConnectionsAcademy.com/ACA,335 E GERMANN RD STE 140,GILBERT,85297,4807825842,41-Rural: Fringe,33.277024,-111.78437,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",2576,2576,1253,1323,87,29,834,198,1186,14,228,NO
ARIZONA DEPARTMENT OF JUVENILE CORRECTIONS (8326),ARIZONA,Maricopa County,http://adjc.az.gov/,1624 W ADAMS ST,PHOENIX,85007,6025424302,11-City: Large,33.449033,-112.092707,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,134,134,121,13,9,0,83,21,20,1,0,NO
ARIZONA EDUCATION SOLUTIONS (90758),ARIZONA,Maricopa County,http://afprephigh.org,2500 S POWER RD STE 215,MESA,85209,6026418254,21-Suburb: Large,33.370322,-111.688824,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1204,1204,552,652,75,17,472,149,482,8,1,NO
ARIZONA LANGUAGE PREPARATORY (92566),ARIZONA,Maricopa County,http://azlanguageprep.org/,4645 E MARILYN RD,PHOENIX,85032,6029961595,11-City: Large,33.619966,-111.980411,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",85,85,39,46,3,4,28,3,41,0,6,NO
ARIZONA SCHOOL FOR THE ARTS (4345),ARIZONA,Maricopa County,http://www.goasa.org,1410 N 3RD ST,PHOENIX,85004,6022571444,11-City: Large,33.464439,-112.069791,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",814,814,247,567,7,28,270,47,399,0,63,YES
ARLINGTON ELEMENTARY DISTRICT (4274),ARIZONA,Maricopa County,http://www.arlingtonelem.org,9410 S 355TH AVE,ARLINGTON,85322,6233862031,42-Rural: Distant,33.36117,-112.818041,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,279,279,147,132,0,1,181,1,95,0,1,NO
ASU PREPARATORY ACADEMY (346763),ARIZONA,Maricopa County,http://asuprep.asu.edu,1130 E University Dr. Ste 230,TEMPE,85287,4809654574,11-City: Large,33.423291,-111.921142,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",209,209,105,104,4,0,172,20,10,0,3,NO
ASU PREPARATORY ACADEMY (89949),ARIZONA,Maricopa County,http://asuprep.asu.edu,735 E FILLMORE ST,PHOENIX,85006,4809654574,11-City: Large,33.454094,-112.063964,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",514,514,258,256,16,1,336,110,23,1,27,NO
ASU PREPARATORY ACADEMY (90273),ARIZONA,Maricopa County,http://asuprep.asu.edu,1130 E University Dr. Ste 230,TEMPE,85287,4809654574,11-City: Large,33.423291,-111.921142,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",107,107,56,51,0,1,96,6,3,0,1,NO
ASU PREPARATORY ACADEMY (91303),ARIZONA,Maricopa County,http://asuprep.asu.edu,735 E FILLMORE ST,PHOENIX,85006,4809654574,11-City: Large,33.454094,-112.063964,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",357,357,188,169,10,6,283,28,24,0,6,NO
ASU PREPARATORY ACADEMY (91305),ARIZONA,Maricopa County,http://www.asuprep.asu.edu,430 E University Drive,TEMPE,85281,4809654574,11-City: Large,33.305321,-111.674406,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",458,458,272,186,12,20,204,30,164,2,26,NO
ASU PREPARATORY ACADEMY (91307),ARIZONA,Maricopa County,http://www.asuprep.asu.edu,6950 E WILLIAMS FIELD RD,MESA,85212,4809654574,11-City: Large,33.308667,-111.682045,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",498,498,258,240,14,20,183,29,198,2,52,NO
ASU PREPARATORY ACADEMY (92325),ARIZONA,Maricopa County,http://asuprep.asu.edu,735 E FILLMORE ST,PHOENIX,85006,4809654574,11-City: Large,33.454094,-112.063964,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",409,409,209,200,9,2,298,52,35,0,13,NO
ASU PREPARATORY ACADEMY (92327),ARIZONA,Maricopa County,http://asuprep.asu.edu,6950 E WILLIAMS FIELD RD,MESA,85212,4809654574,11-City: Large,33.308667,-111.682045,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",325,325,161,164,5,11,129,22,135,0,23,NO
ASU PREPARATORY ACADEMY (92716),ARIZONA,Maricopa County,http://asuprep.asu.edu,1130 E University Dr. Ste 230,TEMPE,85281,4809654574,11-City: Large,33.423291,-111.921142,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",58,58,24,34,1,0,46,4,3,0,4,NO
ASU PREPARATORY ACADEMY - CASA GRANDE (92987),ARIZONA,Pinal County,http://asuprep.asu.edu,2612 W GILA BEND HWY,CASA GRANDE,85193,4809654574,41-Rural: Fringe,32.88062,-111.844701,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",224,224,177,47,5,12,108,20,71,0,8,NO
ASU PREPARATORY ACADEMY DIGITAL (522074),ARIZONA,Maricopa County,http://www.asuprepdigital.org/,1130 E University Dr STE 230,TEMPE,85281,8446923372,12-City: Mid-size,33.423291,-111.921142,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",3455,3455,1585,1870,177,141,1081,210,1612,14,220,NO
AVONDALE ELEMENTARY DISTRICT (4272),ARIZONA,Maricopa County,http://www.avondale.k12.az.us/home,295 W WESTERN AVE,AVONDALE,85323,6237725000,22-Suburb: Mid-size,33.434835,-112.352381,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,5898,5898,3034,2864,44,98,3899,620,1088,31,118,NO
AVONDALE LEARNING DBA PRECISION ACADEMY (79929),ARIZONA,Maricopa County,http://precisionacademyschool.wordpress.com/,7318 W LYNWOOD ST,PHOENIX,85035,6239368682,11-City: Large,33.464836,-112.217136,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",66,66,35,31,0,0,60,5,1,0,0,NO
AZ COMPASS SCHOOLS INC. (89869),ARIZONA,Maricopa County,http://www.azcompassprep.com/,2020 N ARIZONA AVE STE G62,CHANDLER,85225,4807792010,11-City: Large,33.337025,-111.843837,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",247,247,150,97,62,2,64,78,26,0,15,NO
BALL CHARTER SCHOOLS (DOBSON) (79204),ARIZONA,Maricopa County,http://www.dobsonacademy.org,2207 N DOBSON RD,CHANDLER,85224,4808556325,11-City: Large,33.339426,-111.875183,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",427,427,227,200,14,16,153,46,146,4,48,NO
BALL CHARTER SCHOOLS (HEARN) (4294),ARIZONA,Maricopa County,http://www.ballcharterschools.org,17606 N 7TH AVE,PHOENIX,85023,6028969160,11-City: Large,33.644943,-112.083244,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",663,663,297,366,4,10,240,32,371,0,6,NO
BALL CHARTER SCHOOLS (VAL VISTA) (90885),ARIZONA,Maricopa County,http://www.valvistaacademy.org,4120 S VAL VISTA DR,GILBERT,85297,4806565555,21-Suburb: Large,33.275263,-111.756274,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",418,418,209,209,4,22,80,32,246,4,30,NO
BALSZ ELEMENTARY DISTRICT (4268),ARIZONA,Maricopa County,http://www.balsz.org,4825 E ROOSEVELT ST,PHOENIX,85008,6026296400,11-City: Large,33.458079,-111.977873,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,2176,2176,1172,1004,148,13,1339,486,105,15,70,NO
BASIS CHARTER SCHOOLS INC. (273398),ARIZONA,Maricopa County,http://www.basised.com,25952 N LAKE PLEASANT PKWY,PEORIA,85383,6232511504,21-Suburb: Large,33.719481,-112.270095,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",673,673,320,353,3,376,79,20,144,4,47,NO
BASIS CHARTER SCHOOLS INC. (549803),ARIZONA,Maricopa County,http://www.basised.com,2002 W. Southern Ave,PHOENIX,85041,4804471795,11-City: Large,33.394549,-112.100207,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",487,487,242,245,4,68,247,93,50,1,24,NO
BASIS CHARTER SCHOOLS INC. (6361),ARIZONA,Maricopa County,http://www.basised.com,7975 N HAYDEN RD STE B100,SCOTTSDALE,85258,5203266367,11-City: Large,33.553063,-111.897369,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",806,806,421,385,2,128,346,46,219,0,65,NO
BASIS CHARTER SCHOOLS INC. (783027),ARIZONA,Maricopa County,http://www.basised.com/scottsdale-primary-west/,7496 E TIERRA BUENA LN,SCOTTSDALE,85260,4809001858,12-City: Mid-size,33.62988,-111.918021,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",439,439,223,216,1,251,43,14,104,0,26,NO
BASIS CHARTER SCHOOLS INC. (81078),ARIZONA,Maricopa County,http://www.basised.com,7975 N HAYDEN RD STE B121,SCOTTSDALE,85258,4804517500,12-City: Mid-size,33.553063,-111.897369,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",994,994,528,466,2,594,60,19,254,2,63,YES
BASIS CHARTER SCHOOLS INC. (90508),ARIZONA,Maricopa County,http://www.basised.com,7975 N HAYDEN RD STE B121,SCOTTSDALE,85258,5203085220,21-Suburb: Large,33.553063,-111.897369,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",565,565,278,287,3,182,96,16,240,2,26,NO
BASIS CHARTER SCHOOLS INC. (90841),ARIZONA,Maricopa County,http://www.basised.com,7975 N HAYDEN RD STE B100,SCOTTSDALE,85258,6235669100,21-Suburb: Large,33.553063,-111.897369,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",974,974,521,453,3,669,59,49,156,5,33,YES
BASIS CHARTER SCHOOLS INC. (90842),ARIZONA,Maricopa County,http://www.basised.com,11485 N 136TH ST STE 109,SCOTTSDALE,85259,4809076072,11-City: Large,33.235577,-111.839123,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1146,1146,607,539,2,935,38,46,96,2,27,YES
BASIS CHARTER SCHOOLS INC. (90862),ARIZONA,Maricopa County,http://www.basised.com,7975 N HAYDEN RD STE B100,SCOTTSDALE,85258,9287745502,13-City: Small,33.553063,-111.897369,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",737,737,389,348,28,81,123,6,438,6,55,NO
BASIS CHARTER SCHOOLS INC. (91280),ARIZONA,Maricopa County,http://www.basised.com,13613 N CAVE CREEK RD,PHOENIX,85022,6025959870,11-City: Large,33.59384,-112.014065,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",744,744,369,375,1,469,59,21,169,1,24,YES
BASIS CHARTER SCHOOLS INC. (91339),ARIZONA,Maricopa County,http://www.basised.com,11440 N 136TH ST,SCOTTSDALE,85259,4806592294,11-City: Large,33.590361,-111.788012,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",692,692,360,332,5,390,47,62,140,2,46,YES
BASIS CHARTER SCHOOLS INC. (91949),ARIZONA,Maricopa County,http://www.basised.com,7975 N HAYDEN RD STE B100,SCOTTSDALE,85258,6022394807,41-Rural: Fringe,33.553063,-111.897369,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",840,840,450,390,4,260,151,49,314,0,62,YES
BASIS CHARTER SCHOOLS INC. (92318),ARIZONA,Maricopa County,http://www.basised.com,7975 N HAYDEN RD STE B100,SCOTTSDALE,85258,5208125900,21-Suburb: Large,33.553063,-111.897369,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",666,666,321,345,2,197,180,24,209,2,52,NO
BASIS CHARTER SCHOOLS INC. (92349),ARIZONA,Maricopa County,http://www.basised.com,7975 N HAYDEN RD STE B100,SCOTTSDALE,85258,6025595399,11-City: Large,33.553063,-111.897369,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",429,429,194,235,3,67,154,59,107,1,38,NO
BASIS CHARTER SCHOOLS INC. (92734),ARIZONA,Maricopa County,http://www.basised.com,7975 N HAYDEN RD STE B100,SCOTTSDALE,85258,4802768592,22-Suburb: Mid-size,33.553063,-111.897369,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",290,290,141,149,2,76,76,55,62,1,18,YES
BASIS CHARTER SCHOOLS INC. (92736),ARIZONA,Maricopa County,http://www.basised.com,7975 N HAYDEN RD STE B100,SCOTTSDALE,85258,4802768592,22-Suburb: Mid-size,33.553063,-111.897369,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",690,690,321,369,4,95,213,141,185,2,50,YES
